"EFF_DATE","SITE_NO","SITE_TYPE_CODE","STATE_CODE","ARPT_ID","CITY","COUNTRY_CODE","STATE_NAME","COUNTY_NAME","ARPT_NAME","LAT_DEG","LAT_MIN","LAT_SEC","LAT_HEMIS","LAT_DECIMAL","LONG_DEG","LONG_MIN","LONG_SEC","LONG_HEMIS","LONG_DECIMAL","ELEV","ELEV_METHOD_CODE","MAG_VARN","MAG_HEMIS","MAG_VARN_YEAR","ICAO_ID","facility_use"
"2026/09/03","17080.56","A","NC","NR70","SALISBURY","US","NORTH CAROLINA","ROWAN","SOARING Q RANCH",35,46,38.28,"N",35.7773,80,31,14.538,"W",-80.520705,765,"S",NA,"",NA,"","private"
"2026/09/03","17082.12","A","NC","TTA","SANFORD","US","NORTH CAROLINA","LEE","RALEIGH EXEC JETPORT AT SANFORD-LEE COUNTY",35,34,56.782,"N",35.58243944,79,6,4.816,"W",-79.10133777,246.6,"S",8,"W",2000,"KTTA","public"
"2026/09/03","17082.15","A","NC","82NC","SANFORD","US","NORTH CAROLINA","HARNETT","PINEVIEW AIR",35,18,29,"N",35.30805555,79,4,24,"W",-79.07333333,300,"E",8,"W",2000,"","private"
"2026/09/03","17082.16","H","NC","NR35","SANFORD","US","NORTH CAROLINA","LEE","CENTRAL CAROLINA HOSPITAL",35,28,8.1895,"N",35.46894152,79,11,10.5895,"W",-79.18627486,328,"E",NA,"",NA,"","private"
"2026/09/03","17083.","H","TX","TT59","KINGWOOD","US","TEXAS","MONTGOMERY","HCA HOUSTON HEALTHCARE KINGWOOD",30,3,5.13,"N",30.051425,95,15,15.26,"W",-95.25423888,91,"E",NA,"",NA,"","private"
"2026/09/03","17086.01","A","NC","NC66","SCOTLAND NECK","US","NORTH CAROLINA","HALIFAX","VENTOSA PLANTATION",36,7,52.562,"N",36.13126722,77,17,44.878,"W",-77.29579944,30,"E",8,"W",1985,"","private"
"2026/09/03","17086.1","H","NC","0NC6","SCOTLAND NECK","US","NORTH CAROLINA","HALIFAX","OUR COMMUNITY HOSPITAL",36,7,41.56,"N",36.12821111,77,25,45.01,"W",-77.42916944,113,"E",8,"W",1985,"","private"
"2026/09/03","17086.2","A","NC","2NC7","SCOTLAND NECK","US","NORTH CAROLINA","HALIFAX","SCOTLAND NECK EAST",36,10,4.56,"N",36.16793333,77,23,55.89,"W",-77.39885833,103,"E",8,"W",1985,"","private"
"2026/09/03","17087.01","A","NC","45NC","SEABOARD","US","NORTH CAROLINA","NORTHAMPTON","GLOVER",36,31,41,"N",36.52805555,77,27,17,"W",-77.45472222,120,"E",9,"W",1995,"","private"
"2026/09/03","17092.","A","NC","EHO","SHELBY","US","NORTH CAROLINA","CLEVELAND","SHELBY-CLEVELAND COUNTY RGNL",35,15,20.697,"N",35.25574916,81,36,2.752,"W",-81.60076444,846.6,"S",6,"W",2000,"KEHO","public"
"2026/09/03","17092.01","A","NC","NC97","SHELBY","US","NORTH CAROLINA","CLEVELAND","DIRT DOBBER'S GRASS STRIP",35,22,7.48,"N",35.36874444,81,31,24.92,"W",-81.52358888,930,"E",NA,"",NA,"","private"
"2026/09/03","17094.","A","NC","8NC6","SILER CITY","US","NORTH CAROLINA","CHATHAM","BROOKS FLD",35,41,37.44,"N",35.69373333,79,24,39.45,"W",-79.41095833,620,"E",6,"W",1985,"","private"
"2026/09/03","17094.1","A","NC","SCR","SILER CITY","US","NORTH CAROLINA","CHATHAM","SILER CITY MUNI",35,42,15.388,"N",35.70427444,79,30,15.472,"W",-79.50429777,615.6,"S",9,"W",2015,"KSCR","public"
